game_id,season,game_type,home_team,away_team,home_score,away_score
2025_16_CIN_MIA,2025,REG,MIA,CIN,21,45
2025_16_NYJ_NO,2025,REG,NO,NYJ,29,6
2025_16_MIN_NYG,2025,REG,NYG,MIN,13,16
2025_16_KC_TEN,2025,REG,TEN,KC,26,9
2025_16_ATL_ARI,2025,REG,ARI,ATL,19,26
2025_16_JAX_DEN,2025,REG,DEN,JAX,20,34
2025_16_PIT_DET,2025,REG,DET,PIT,24,29
2025_16_LV_HOU,2025,REG,HOU,LV,23,21
2025_16_NE_BAL,2025,REG,BAL,NE,24,28
2025_16_SF_IND,2025,REG,IND,SF,27,48
2025_17_DAL_WAS,2025,REG,WAS,DAL,23,30
2025_17_DET_MIN,2025,REG,MIN,DET,23,10
2025_17_DEN_KC,2025,REG,KC,DEN,13,20
2025_17_HOU_LAC,2025,REG,LAC,HOU,16,20
2025_17_BAL_GB,2025,REG,GB,BAL,24,41
2025_17_SEA_CAR,2025,REG,CAR,SEA,10,27
2025_17_ARI_CIN,2025,REG,CIN,ARI,37,14
2025_17_PIT_CLE,2025,REG,CLE,PIT,13,6
2025_17_JAX_IND,2025,REG,IND,JAX,17,23
2025_17_TB_MIA,2025,REG,MIA,TB,20,17
2025_17_NE_NYJ,2025,REG,NYJ,NE,10,42
2025_17_NO_TEN,2025,REG,TEN,NO,26,34
2025_17_NYG_LV,2025,REG,LV,NYG,10,34
2025_17_PHI_BUF,2025,REG,BUF,PHI,12,13
2025_17_CHI_SF,2025,REG,SF,CHI,42,38
2025_17_LA_ATL,2025,REG,ATL,LA,27,24
2025_18_CAR_TB,2025,REG,TB,CAR,16,14
2025_18_SEA_SF,2025,REG,SF,SEA,3,13
2025_18_NO_ATL,2025,REG,ATL,NO,19,17
2025_18_CLE_CIN,2025,REG,CIN,CLE,18,20
2025_18_IND_HOU,2025,REG,HOU,IND,38,30
2025_18_TEN_JAX,2025,REG,JAX,TEN,41,7
2025_18_GB_MIN,2025,REG,MIN,GB,16,3
2025_18_DAL_NYG,2025,REG,NYG,DAL,34,17
2025_18_NYJ_BUF,2025,REG,BUF,NYJ,35,8
2025_18_DET_CHI,2025,REG,CHI,DET,16,19
2025_18_LAC_DEN,2025,REG,DEN,LAC,19,3
2025_18_ARI_LA,2025,REG,LA,ARI,37,20
2025_18_KC_LV,2025,REG,LV,KC,14,12
2025_18_MIA_NE,2025,REG,NE,MIA,38,10
2025_18_WAS_PHI,2025,REG,PHI,WAS,17,24
2025_18_BAL_PIT,2025,REG,PIT,BAL,26,24
